date,pm2_5,temp_mean,temp_max,temp_min,precip_total,wind_speed_max,wind_speed_mean,wind_dir_dominant
2022-01-29,86.0,28.7375,34.5,24.8,0.0,16.5,9.283333333333333,207.69345276649824
2022-01-30,78.0,28.495833333333334,34.5,23.6,0.0,15.7,8.1625,211.09417295450476
2022-01-31,76.0,27.983333333333334,32.6,24.1,0.2,17.1,10.379166666666666,198.48113591959685
2022-02-01,70.0,28.1875,31.9,25.4,0.30000000000000004,19.5,13.804166666666667,179.53266648071997
2022-02-02,60.0,27.55,30.9,23.9,2.7,17.2,10.924999999999999,182.43219880112972
2022-02-03,74.0,27.962500000000002,31.9,24.4,0.2,12.8,8.229166666666666,153.11360380820446
2022-02-04,78.0,26.962500000000002,32.5,23.0,1.6,15.8,7.208333333333333,99.54098366818661
2022-02-05,94.0,27.650000000000002,32.5,23.5,0.8,15.5,9.129166666666666,38.16379621094543
2022-02-06,112.0,28.066666666666666,33.0,22.9,0.0,12.9,7.695833333333333,31.828821235032006
2022-02-07,146.0,28.925,33.8,23.5,0.0,13.4,5.7124999999999995,79.20176881003067
2022-02-08,144.0,29.337500000000002,34.4,24.5,0.0,13.7,5.154166666666667,225.27695506132633
2022-02-09,88.0,28.616666666666664,32.9,25.2,1.3,12.8,8.095833333333333,200.13497361453378
2022-02-10,77.0,27.724999999999998,33.0,23.5,8.4,18.7,7.854166666666667,155.78748376725403
2022-02-11,69.0,27.8875,32.0,25.0,12.1,12.0,6.129166666666666,208.4764860592225
2022-02-12,80.0,26.45,29.8,24.1,4.3,10.0,5.283333333333333,112.83336560450888
2022-02-13,95.0,27.575,31.3,24.5,1.0,11.2,6.1499999999999995,189.4376161961584
2022-02-14,71.0,26.7625,30.6,23.2,3.9,12.9,6.820833333333334,90.08906134443232
2022-02-15,83.0,25.454166666666666,28.0,24.0,11.799999999999999,13.7,7.608333333333333,50.7856028726359
2022-02-16,119.0,25.09166666666667,28.5,23.1,17.200000000000003,13.8,6.558333333333334,54.128903298674935
2022-02-17,119.0,25.454166666666666,28.4,23.5,7.0,16.2,7.2875000000000005,119.37950729672811
2022-02-18,62.0,26.183333333333334,29.4,23.7,7.9,14.5,8.025,149.4559541971239
2022-02-19,47.0,27.104166666666668,30.0,23.5,15.9,21.0,12.833333333333334,177.0746225044669
2022-02-20,40.0,27.670833333333334,30.6,24.9,2.0,19.2,13.295833333333334,195.495113102774
2022-02-21,59.0,26.2,28.7,23.5,2.0,16.6,9.295833333333333,132.48336811437474
2022-02-22,75.0,24.754166666666666,28.9,21.0,0.0,13.7,6.420833333333333,18.429884827685584
2022-02-23,105.0,25.620833333333334,29.9,22.0,0.0,10.6,6.8625,44.42566510913494
2022-02-24,103.0,24.6125,29.0,20.4,0.0,13.6,9.025,32.34309487454403
2022-02-25,118.0,24.704166666666666,29.9,20.0,0.0,12.6,7.8999999999999995,23.753827644626554
2022-02-26,122.0,25.333333333333332,30.6,20.1,0.0,12.8,7.575,8.151127634161943
2022-02-27,98.0,26.379166666666666,32.5,20.5,0.0,15.9,9.320833333333333,33.265449078672845
2022-02-28,150.0,27.849999999999998,33.8,21.9,0.0,8.5,5.0375000000000005,25.10011540626292
